"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"3485",-118.54,34.28,18,5481,780,2477,764,6.7248,12.8405308297414
"3486",-118.55,34.28,16,8879,1239,3468,1200,8.1125,12.9682793620216
"3488",-118.54,34.3,22,4423,622,1995,582,8.2159,12.8378761958491
"3490",-118.45,34.28,38,1527,332,1303,340,3.5714,11.9316357998284
"3491",-118.46,34.28,23,1663,302,1242,283,5.5931,12.2904137939639
"3492",-118.47,34.27,33,1549,264,881,289,5.1408,12.314478519374
"3493",-118.48,34.28,35,2132,368,1128,341,5.3107,12.3331457280936
"3496",-118.47,34.27,35,1150,185,741,178,5.741,12.3041063858015
"3500",-118.45,34.27,35,1579,300,1012,265,5.1296,12.1853596039326
"3501",-118.46,34.27,30,1576,282,1004,284,4.8015,12.0990440727717
"3502",-118.46,34.27,28,1865,463,1182,440,2.6193,12.056992422516
"3507",-118.45,34.26,35,1637,300,894,302,4.175,12.252956231429
"3508",-118.46,34.26,33,1358,247,738,235,5.0947,12.2562903616908
"3509",-118.46,34.26,36,1394,254,761,262,4.9485,12.2881133558664
"3510",-118.46,34.25,33,2202,433,1135,407,4.2143,12.3202937896202
"3511",-118.46,34.25,32,2217,422,1064,427,3.6989,12.2481738215488
"3513",-118.47,34.26,35,1898,344,1123,347,5.5792,12.2940835228529
"3514",-118.48,34.26,36,1770,296,938,304,5.749,12.3800259526536
"3515",-118.49,34.26,27,2722,468,1164,419,4.6591,12.3879774488278
"3518",-118.48,34.25,35,1442,276,795,268,4.9688,12.287191696815
"3519",-118.48,34.25,35,1865,335,1074,337,5.1068,12.3162714378282
"3520",-118.49,34.25,33,2088,383,960,362,4.3333,12.3583644558724
"3521",-118.49,34.27,34,4877,815,2521,781,5.5714,12.3278477024561
"3522",-118.49,34.27,33,3047,527,1578,507,4.58,12.3724341827454
"3526",-118.51,34.27,34,3787,771,1966,738,4.055,12.3126823805884
"3527",-118.51,34.27,36,2276,429,1001,419,4.1042,12.437581113176
"3530",-118.53,34.26,18,3674,577,1590,550,8.176,12.6391529206713
"3531",-118.54,34.26,22,5303,838,2372,807,5.6912,12.6501172356058
"3533",-118.53,34.27,33,1927,305,896,293,5.634,12.6776375553429
"3534",-118.54,34.26,23,4960,592,1929,586,10.9052,13.1223653774023
"3535",-118.55,34.26,21,4018,536,1508,529,8.203,13.0067280338054
"3536",-118.55,34.27,25,4919,661,2183,625,8.1356,12.7736566031148
"3537",-118.5,34.26,33,2831,510,1340,504,4.8316,12.3770804424239
"3539",-118.51,34.26,29,2472,354,1109,397,5.5433,12.714395139078
"3541",-118.49,34.26,25,8389,1872,4483,1747,3.5497,12.4734244515087
"3544",-118.59,34.26,20,8146,1131,3562,1054,7.167,12.7857711335825
"3546",-118.63,34.24,9,4759,924,1884,915,4.8333,12.5324945462979
"3547",-118.62,34.26,15,10860,1653,4178,1581,6.3249,12.4764813893115
"3549",-118.61,34.25,16,8295,1506,3903,1451,5.5111,12.5303276982128
"3550",-118.63,34.22,18,1376,225,670,205,6.5146,12.5339365076148
"3553",-118.61,34.23,26,3727,572,1724,530,6.1419,12.6986324604893
"3554",-118.61,34.22,24,5256,758,2474,780,7.3252,12.7179976647395
"3559",-118.57,34.25,34,5098,778,2239,778,5.6149,12.5175933074618
"3561",-118.59,34.25,15,9716,2387,4992,2225,3.6231,12.1719986651964
"3563",-118.58,34.25,23,4883,769,2119,725,5.521,12.5453979511338
"3564",-118.56,34.23,36,3215,529,1710,539,5.5126,12.4227956290415
"3565",-118.56,34.23,36,2406,432,1242,454,4.6944,12.3095313538984
"3566",-118.57,34.23,22,3275,648,1746,585,4.9676,12.3099821089207
"3568",-118.59,34.23,14,4407,1209,2676,1128,3.4091,12.036469861144
"3569",-118.58,34.23,35,1917,314,1019,340,4.8929,12.366915170647
"3571",-118.59,34.22,17,6015,1464,3056,1347,4.0077,12.3414772825364
"3573",-118.51,34.24,31,5297,664,1986,657,8.6454,13.0888065938755
"3574",-118.51,34.23,36,3324,448,1190,423,7.2772,13.0756909692059
"3576",-118.52,34.23,35,1471,210,735,219,8.3841,13.0651579036335
"3577",-118.53,34.25,20,6331,1537,2957,1509,3.3892,12.6857171518126
"3578",-118.54,34.24,24,4631,1164,2360,1083,3.0977,12.4837043821285
"3579",-118.53,34.24,24,2718,719,3018,644,2.9076,12.5256166911307
"3581",-118.53,34.23,27,2131,543,1065,528,3.2404,12.3475722078039
"3582",-118.54,34.25,26,2639,378,1191,401,6.2788,12.682927749725
"3583",-118.55,34.24,21,5751,1082,2230,1016,4.3458,12.9177962116631
"3584",-118.55,34.23,25,4409,1018,4579,1010,2.8727,12.4094215695162
"3586",-118.52,34.22,21,4617,1101,2891,1031,3.2289,12.6701210777372
"3587",-118.53,34.23,32,4039,984,2675,941,3.0321,12.3883942023241
"3589",-118.54,34.23,29,1753,342,1318,333,4.125,12.3942105876456
"3592",-118.47,34.25,21,2692,477,1330,456,4.5417,12.3838003333139
"3596",-118.49,34.24,35,2707,446,1224,445,5.2939,12.4057428406587
"3597",-118.49,34.24,34,1971,316,917,307,6.0965,12.477244165855
"3598",-118.5,34.25,32,2333,389,969,331,4.8164,12.3929670641693
"3599",-118.5,34.25,32,2411,380,1040,344,6.155,12.4579979982698
"3604",-118.47,34.23,22,8350,2717,9135,2452,2.5008,11.982929094216
"3605",-118.48,34.23,35,1963,310,919,297,4.7583,12.4630377453199
"3606",-118.48,34.23,30,1762,263,761,292,6.5268,12.5175933074618
"3607",-118.48,34.23,29,3354,707,1752,650,4.5484,12.3879774488278
"3612",-118.43,34.24,36,1488,313,1221,296,4.0208,12.0517552851458
"3613",-118.42,34.24,35,1507,281,1025,286,4.5833,12.0850343171531
"3616",-118.44,34.26,34,1102,212,949,212,4.0792,12.0143066299082
"3617",-118.44,34.26,28,1077,288,1377,293,3.9167,11.944058319827
"3618",-118.43,34.25,32,2433,553,2318,532,3.6384,11.9785444958981
"3619",-118.44,34.26,34,325,60,433,83,5.5124,12.0685332315081
"3620",-118.44,34.25,35,1583,324,1481,351,3.7,12.0782392740203
"3621",-118.45,34.25,21,2143,565,1803,497,3.9833,11.9984332807519
"3622",-118.45,34.24,11,9053,2193,7096,2038,3.5082,11.8240798936072
"3623",-118.45,34.23,15,5738,1767,4620,1581,2.3584,11.9678154564059
"3626",-118.43,34.24,35,1416,261,995,272,3.7143,12.0934637011475
"3627",-118.43,34.24,35,1488,293,1112,288,4.4688,12.1145054520047
"3630",-118.42,34.23,33,2478,457,1567,446,5.6629,12.1372583295298
"3631",-118.42,34.22,29,1807,323,1234,310,5.3767,12.3587937325478
"3633",-118.43,34.24,36,1379,265,896,246,4.6827,12.1216034889037
"3635",-118.43,34.23,35,1225,228,720,231,3.4013,12.0810761553555
"3636",-118.43,34.23,37,1737,369,1061,356,3.9615,12.0650849522292
"3637",-118.43,34.24,37,1279,241,987,233,4.0057,12.0593112641348
"3639",-118.43,34.22,34,1588,360,1080,340,3.66,12.1259466010509
"3640",-118.44,34.22,41,1030,214,664,223,3.8083,12.1216034889037
"3641",-118.44,34.22,39,1529,344,913,314,3.325,12.0906617940188
"3642",-118.44,34.23,43,2257,429,1418,442,4.5278,12.1106624607255
"3643",-118.46,34.22,35,2288,617,2222,566,2.6299,12.0476629087825
"3644",-118.46,34.22,39,1500,333,998,309,3.9625,12.032909026521
"3649",-118.46,34.23,19,9902,2814,7307,2660,2.585,11.8872438440816
"3651",-118.44,34.21,37,1665,335,1011,343,4.8703,12.1286514985616
"3652",-118.44,34.21,41,1440,325,1014,322,2.875,12.0352843245499
"3653",-118.44,34.22,41,1582,399,1159,378,2.825,12.0352843245499
"3655",-118.43,34.21,17,3667,1209,2636,1054,2.425,12.0753943218881
"3656",-118.43,34.22,36,1372,295,774,306,3.6618,12.1404668884322
"3658",-118.4,34.21,30,2453,544,1753,506,2.9803,12.1626430876028
"3660",-118.4,34.21,45,972,181,554,187,4.8194,12.1079083967429
"3661",-118.4,34.22,36,2557,540,1556,491,3.6591,12.1216034889037
"3664",-118.37,34.24,40,1283,246,594,236,4.1121,12.3423502638227
"3665",-118.37,34.23,32,1444,317,1177,311,3.6,12.0112735672251
"3667",-118.38,34.24,38,125,42,63,29,1.3594,11.9722472458691
"3668",-118.4,34.24,35,2552,545,1850,503,4.775,12.0979304869105
"3670",-118.39,34.23,43,1193,299,1184,320,2.1518,11.9928794250691
"3671",-118.4,34.23,36,1643,349,1414,337,4.1181,12.0593112641348
"3676",-118.39,34.21,32,1869,441,1516,432,3.6845,12.0923438802018
"3680",-118.38,34.21,33,1981,484,1665,466,3.0833,12.0956995880488
"3682",-118.42,34.21,29,2893,543,1636,540,5.1586,12.3775017611577
"3685",-118.37,34.21,36,1392,326,1181,303,3.1563,12.0805094225548
"3686",-118.37,34.21,36,2080,455,1939,484,4.2875,12.081642567152
"3687",-118.37,34.21,34,2272,558,2164,484,3.7143,12.0765332741752
"3688",-118.37,34.22,11,2127,581,1989,530,2.9028,12.0673851257563
"3690",-118.36,34.23,15,2485,742,1994,670,2.8333,12.1183337312222
"3691",-118.36,34.22,37,1512,348,1545,351,3.7663,11.9848023385976
"3694",-118.38,34.21,42,715,145,730,158,3.8,12.0406082058026
"3695",-118.38,34.2,23,4138,1171,3911,1068,3.0125,12.1101122543843
"3700",-118.37,34.2,33,1438,309,1378,306,2.8917,12.0459038933774
"3704",-118.37,34.18,33,1829,512,1345,500,3.1629,12.2005574648421
"3705",-118.37,34.19,19,2890,821,2203,705,2.6696,12.1286514985616
"3706",-118.39,34.19,41,2000,485,1439,461,3.0491,12.1652506510099
"3707",-118.39,34.19,23,1875,710,2555,657,2.0968,11.9984332807519
"3708",-118.39,34.2,19,2012,732,3483,731,2.2234,12.1079083967429
"3710",-118.38,34.19,37,1434,394,1667,404,2.4375,12.079942368386
"3713",-118.4,34.19,37,934,231,587,230,3.625,12.1079083967429
"3715",-118.4,34.19,35,2180,599,1483,574,3.0395,12.1615981554283
"3717",-118.41,34.2,32,2734,654,2209,610,3.5164,12.2885738670419
"3718",-118.42,34.2,24,3148,908,2850,839,1.9549,12.3081778684673
"3719",-118.41,34.19,42,779,145,450,148,3.9792,12.1745819784388
"3720",-118.42,34.19,34,2622,572,1997,573,3.338,12.3126823805884
"3721",-118.42,34.2,27,3201,970,3403,948,2.2377,12.3531987104205
"3722",-118.43,34.2,28,3386,815,2240,737,3.0221,12.5779809701095
"3724",-118.42,34.19,33,3285,830,2281,786,2.6165,12.3493068136161
"3725",-118.42,34.18,27,3760,880,2022,812,3.1551,12.326518798606
"3726",-118.42,34.18,31,2887,646,1626,637,3.6745,12.7233772353939
"3729",-118.43,34.18,31,2417,510,1102,507,3.8906,12.5503713184009
"3730",-118.42,34.18,40,1013,150,449,166,5.7143,12.8542224601594
"3731",-118.41,34.19,45,1106,225,595,228,3.6625,12.1584567915885
"3732",-118.41,34.18,43,1840,356,966,323,4.7171,12.379605696291
"3733",-118.41,34.18,30,2008,513,1052,496,3.0119,12.4768628503117
"3737",-118.4,34.18,32,3724,899,1912,791,3.5711,12.6529995434459
"3738",-118.4,34.17,27,3588,911,1891,871,3.4013,12.563747089802
"3741",-118.39,34.17,26,3345,818,1599,773,3.3516,12.3946247520748
"3743",-118.39,34.19,36,904,191,627,191,2.4167,12.1699271988938
"3746",-118.4,34.16,34,2638,580,1150,551,4.2989,12.8068303767968
"3747",-118.41,34.16,32,3060,505,1159,510,6.3703,13.0515116364324
"3748",-118.41,34.17,35,2027,428,879,402,4.692,12.7095714939097
"3751",-118.38,34.18,27,4834,1527,3847,1432,2.1449,12.0155172838091
"3754",-118.39,34.17,40,1696,372,835,385,3.6563,12.3122328413586
"3758",-118.38,34.19,30,977,264,736,258,1.9866,12.0861623488576
"3759",-118.37,34.18,35,2949,794,2106,746,2.9228,12.0855984920623
"3761",-118.36,34.18,31,1109,354,1119,334,2.3056,12.2060726455302
"3763",-118.37,34.17,42,1713,416,1349,427,3.2596,12.1642084414315
"3764",-118.41,34.18,35,2785,663,1631,614,3.9038,12.5285183979182
"3765",-118.41,34.17,27,3277,648,1382,615,3.875,12.8106617991083
"3766",-118.41,34.18,35,1975,384,882,406,4.375,12.5834811558558
"3769",-118.43,34.17,37,1982,331,794,340,5.9275,12.7275414293946
"3770",-118.43,34.16,34,2459,489,1139,463,4.0347,12.7759216097456
"3772",-118.43,34.16,40,1134,184,452,187,4.569,12.7185968259317
"3773",-118.42,34.15,27,2795,602,1073,535,5.1496,12.8076526325646
"3775",-118.42,34.16,28,4664,1040,1963,961,3.9028,12.8155664410929
"3776",-118.41,34.16,14,577,150,372,130,4.1875,12.5245263766487
"3777",-118.42,34.16,25,2769,566,1201,545,3.6641,12.8638516822523
"3778",-118.4,34.17,24,4443,1283,2421,1180,2.2652,12.5032098767527
"3779",-118.4,34.17,24,6347,1548,2945,1492,3.3545,12.3081778684673
"3781",-118.39,34.17,26,6429,1611,2806,1491,3.1929,12.4882395372938
"3783",-118.39,34.16,37,1388,286,547,258,5.1584,13.0051551764988
"3784",-118.38,34.17,30,2016,622,1359,557,2.7708,12.1668119315769
"3785",-118.38,34.16,46,2609,593,1055,585,3.3177,12.6423902171211
"3786",-118.38,34.16,31,2197,501,944,474,3.7312,12.674199514763
"3787",-118.36,34.17,44,2295,560,1543,528,2.3851,12.1761287691571
"3792",-118.37,34.16,6,6526,2007,3298,1790,2.7231,12.4292161968444
"3794",-118.37,34.16,25,2450,618,1054,578,3.6375,12.4780063610138
"3797",-118.36,34.16,32,2455,556,989,493,4.0764,12.6915804613119
"3798",-118.37,34.16,17,4150,1148,1808,1041,3.5051,12.3562153039599
"3799",-118.37,34.16,11,2901,871,1659,789,3.1106,12.2520015774186
"3800",-118.36,34.16,45,1755,335,822,342,5.1423,12.6850979567464
"3801",-118.36,34.16,42,2304,442,862,429,4.3542,12.942997448436
"3802",-118.35,34.15,35,2245,393,783,402,4.1544,13.1223653774023
"3803",-118.43,34.2,20,4090,1271,2824,1053,2.773,11.8529627677559
"3805",-118.44,34.2,28,1732,435,1198,417,2.9219,12.3937962516131
"3807",-118.45,34.21,30,2331,733,2172,707,2.1888,12.1838270365829
"3808",-118.45,34.2,19,3666,1150,2657,1090,2.9688,12.2165179033917
"3809",-118.46,34.2,13,2926,816,1867,802,3.5255,12.2194823324401
"3813",-118.48,34.21,25,2879,723,2077,649,3.3864,12.1929874059815
"3814",-118.48,34.2,26,2027,559,1545,513,2.8974,12.1542528968004
"3815",-118.48,34.22,22,3430,1214,3618,1092,2.1974,11.4489201349943
"3816",-118.49,34.21,25,1131,449,746,420,1.3565,12.3238556811866
"3818",-118.49,34.2,35,1109,206,515,202,5.2118,12.2821073318062
"3819",-118.5,34.2,34,1617,344,938,305,3.915,12.2908732472226
"3820",-118.48,34.2,12,3831,1083,2258,967,2.4375,12.4505862225806
"3821",-118.48,34.2,23,2850,864,2249,777,2.6957,12.1636869290337
"3824",-118.47,34.2,25,4590,1477,2723,1195,2.7118,12.5485979538645
"3827",-118.45,34.2,18,2729,800,2099,742,2.5842,12.3493068136161
"3829",-118.45,34.19,37,1073,254,739,253,2.4667,12.1662917755183
"3830",-118.46,34.19,20,5992,1820,4826,1632,2.7237,12.3609373560911
"3831",-118.46,34.19,35,1491,295,779,309,6.1142,12.4541039123522
"3832",-118.43,34.2,29,3051,694,1942,679,3.1118,12.380446032475
"3833",-118.44,34.2,36,2698,623,1544,554,2.7375,12.366915170647
"3835",-118.44,34.2,17,2934,950,2517,889,2.936,12.3566455040095
"3836",-118.43,34.19,27,3440,739,1827,712,4.125,12.4110522262167
"3837",-118.44,34.19,37,1516,344,983,347,5,12.4032828148179
"3838",-118.44,34.19,19,3487,959,2278,835,2.6709,12.2807161885259
"3839",-118.44,34.19,29,1599,459,1143,438,2.4583,12.2015624900523
"3841",-118.44,34.18,36,2077,496,1206,528,2.2326,12.3059179804999
"3842",-118.44,34.19,11,2891,951,2166,768,2.891,12.0901004692778
"3843",-118.44,34.18,17,1546,592,2423,556,2.1977,11.9460057401114
"3846",-118.46,34.18,27,2582,719,2038,718,3.0877,12.0679593434005
"3851",-118.46,34.18,35,1819,465,1336,419,3.4583,12.4419349692522
"3855",-118.43,34.18,25,3830,1105,2328,1017,2.6238,12.2548628096996
"3857",-118.43,34.17,33,1679,404,933,412,2.6979,12.4912515877638
"3859",-118.43,34.17,42,777,102,284,113,11.2093,13.1223653774023
"3862",-118.44,34.16,35,3080,642,1362,623,4.1218,12.7022921169068
"3863",-118.44,34.16,33,1616,322,580,311,4.0391,12.7293207892947
"3864",-118.45,34.16,22,4982,1358,2237,1220,3.7105,12.5157607982446
"3866",-118.45,34.17,33,3100,687,1388,658,4.3333,12.4734244515087
"3867",-118.46,34.17,24,2814,675,1463,620,4.1875,12.6420669586732
"3869",-118.45,34.16,33,2544,500,1035,492,4.475,12.6596927955254
"3870",-118.46,34.16,28,2795,622,1173,545,4.4423,12.5439724341426
"3871",-118.46,34.16,26,2548,647,1098,540,4.3839,12.608533244618
"3872",-118.54,34.21,22,6064,1826,4876,1697,2.875,12.3331457280936
"3874",-118.54,34.22,35,1664,300,1000,309,4.6731,12.319847659789
"3876",-118.54,34.19,33,2205,453,1242,419,4.1319,12.2244036022149
"3877",-118.51,34.22,36,2794,523,1334,472,4.3462,12.3108830098825
"3879",-118.5,34.21,36,1656,310,817,308,5.5675,12.2825706165029
"3880",-118.51,34.22,36,1952,387,1156,392,4.185,12.2510460111729
"3881",-118.51,34.21,36,2396,421,1064,398,4.7,12.3176140202631
"3882",-118.51,34.22,36,1493,285,766,272,4.8646,12.2699859712738
"3883",-118.52,34.22,35,1275,222,959,226,5.0282,12.1828040185908
"3884",-118.52,34.22,35,1620,272,1052,248,5.5209,12.2224379996164
"3885",-118.52,34.21,36,2394,424,1490,427,4.3261,12.2390237456699
"3889",-118.55,34.21,35,2592,490,1427,434,5.0623,12.4147115106415
"3890",-118.56,34.22,35,1843,329,1041,317,4.4271,12.2312529440605
"3893",-118.55,34.21,33,3910,838,2097,810,3.8247,12.2486530930653
"3894",-118.56,34.21,13,8327,1849,4126,1773,3.7313,12.153726165158
"3895",-118.52,34.2,35,2891,594,1757,581,4.3571,12.2050721451966
"3897",-118.5,34.21,35,1668,332,807,311,4.5125,12.2075715216539
"3898",-118.51,34.2,35,1614,308,850,330,4.1806,12.2500895309469
"3899",-118.51,34.2,37,2066,434,1031,414,4.0924,12.1463226411244
"3900",-118.52,34.21,36,1328,287,823,273,4.5648,12.1740658493951
"3902",-118.51,34.2,33,2327,479,1166,472,4.2344,12.4780063610138
"3904",-118.51,34.19,35,2537,418,1161,421,5.3028,12.3423502638227
"3905",-118.51,34.19,38,2182,409,1141,379,4.2865,12.3063703668455
"3906",-118.5,34.2,18,4249,933,2047,909,4.1304,12.3419138684416
"3908",-118.5,34.19,26,2156,509,1142,470,4,12.3225214581734
"3909",-118.52,34.2,19,4315,1304,2490,1222,2.6437,12.1807548375459
"3913",-118.55,34.19,18,5862,1322,3161,1280,3.1106,12.0470769140397
"3914",-118.55,34.2,31,1963,420,1494,415,3.5313,12.2633977121494
"3918",-118.53,34.19,32,2618,692,1961,633,2.625,12.1668119315769
"3920",-118.53,34.18,26,4175,885,2118,778,4.2083,12.3896434217246
"3922",-118.56,34.2,35,2273,410,1431,403,4.0789,12.1894350043772
"3923",-118.56,34.19,35,782,144,425,140,5.4548,12.2130482592666
"3924",-118.56,34.19,34,1237,242,671,221,3.9615,12.1205147571685
"3925",-118.56,34.19,34,2579,561,1237,517,4.433,12.3677662345282
"3926",-118.56,34.18,36,1366,224,719,270,4.8264,12.4332082181139
"3928",-118.54,34.18,25,1938,457,1280,425,3.9632,12.3896434217246
"3930",-118.55,34.19,31,1856,370,990,360,4.3654,12.31850807486
"3931",-118.58,34.21,24,2642,696,1649,633,3.0187,12.2908732472226
"3933",-118.59,34.2,18,847,185,733,178,5.2149,12.2155278043009
"3934",-118.58,34.2,37,1389,252,826,249,5.015,12.3054653894082
"3937",-118.57,34.22,17,3262,753,1879,708,4.1359,12.4498028304528
"3938",-118.58,34.21,13,6227,1317,3739,1226,4.0313,12.6092016938408
"3939",-118.58,34.22,35,2560,441,1428,468,5.6345,12.3379777164101
"3940",-118.58,34.21,27,2209,353,1034,344,4.7125,12.4328097323545
"3941",-118.59,34.21,34,1943,320,895,305,5.0462,12.3357842520518
"3943",-118.6,34.21,21,9512,2560,7282,2387,2.8039,12.3349055173731
"3945",-118.62,34.22,33,1636,275,866,289,5.6356,12.3937962516131
"3947",-118.62,34.22,34,2633,471,1313,428,4.0909,12.3583644558724
"3948",-118.61,34.21,41,1058,228,778,245,3.3534,12.1034860567551
"3950",-118.61,34.21,33,2609,431,1208,406,5.4527,12.3331457280936
"3951",-118.62,34.2,23,3098,542,1486,492,5.7613,12.3707392670854
"3952",-118.63,34.21,31,3952,647,1762,588,5.5709,12.4081968296203
"3955",-118.65,34.2,23,7480,1084,3037,1058,6.9223,12.7319839067142
"3957",-118.63,34.2,19,7411,1045,2814,950,6.7785,12.7251640137132
"3958",-118.59,34.21,17,2737,868,2924,785,2.5797,12.1199699464768
"3960",-118.6,34.2,10,2869,941,2162,829,3.2297,11.9183905730784
"3961",-118.6,34.21,19,2581,857,2004,784,2.6159,12.1134089606668
"3962",-118.56,34.2,35,1770,362,1083,355,5.0483,12.3059179804999
"3965",-118.58,34.2,21,2979,744,1824,692,3.5,12.3180611474782
"3966",-118.56,34.19,36,2600,441,1246,426,4.1111,12.281180118017
"3967",-118.57,34.2,36,2559,469,1358,445,4.5568,12.2135446603689
"3968",-118.57,34.2,33,1759,311,943,315,5.223,12.2510460111729
"3969",-118.58,34.2,35,1558,267,793,249,5.1463,12.3022915032707
"3972",-118.58,34.19,35,2329,399,966,336,3.8839,12.3234111379474
"3974",-118.58,34.19,15,3061,1079,2173,1078,2.85,12.1415341243926
"3976",-118.62,34.2,29,2421,402,1120,388,5.0309,12.4081968296203
"3977",-118.62,34.18,25,3124,468,1241,439,6.4044,12.7161980241818
"3978",-118.62,34.19,35,1934,307,905,315,5.5101,12.49650094365
"3980",-118.61,34.19,28,3824,749,1790,701,4.1154,12.4147115106415
"3981",-118.61,34.19,34,703,127,369,127,4.3125,12.2553388868331
"3982",-118.6,34.19,16,14912,4183,5105,3302,2.8312,12.2732638950705
"3984",-118.63,34.18,32,1646,242,697,233,6.6689,12.9784930069846
"3987",-118.64,34.18,33,3808,623,1784,615,5.1641,12.4814290682913
"3988",-118.64,34.19,28,3274,571,1424,521,4.4167,12.4183574535095
"3989",-118.65,34.18,27,1793,339,1016,326,4.925,12.3896434217246
"3990",-118.65,34.19,27,2772,511,1346,497,5.2016,12.4008167223227
"3991",-118.66,34.19,23,7544,1031,3221,1043,7.642,12.834414602724
"3995",-118.57,34.17,35,2072,318,908,342,6.0928,12.6986324604893
"3996",-118.58,34.17,29,3393,574,1471,587,6.2064,12.7215872587823
"3997",-118.59,34.18,7,11853,2691,4404,2447,4.2009,12.510980498647
"4000",-118.62,34.17,34,3268,538,1463,519,6.8482,12.6388286138742
"4002",-118.65,34.18,26,4607,656,1769,643,7.4918,12.8147506694637
"4003",-118.66,34.18,25,6612,857,2519,843,8.3912,12.9456261989043
"4004",-118.61,34.17,31,1689,362,705,360,4,12.5371733383495
"4006",-118.61,34.16,29,4364,647,1550,624,6.8107,12.8142064517632
"4008",-118.63,34.16,30,3346,487,1296,495,7.457,12.8808012405661
"4009",-118.62,34.15,26,5661,791,2493,780,7.9814,12.9236685064924
"4010",-118.57,34.17,31,1950,383,870,357,3.1875,13.1223653774023
"4011",-118.58,34.17,18,6476,1082,2413,958,5.6327,13.1223653774023
"4012",-118.59,34.17,36,1887,359,761,329,5.4847,12.5981147333062
"4014",-118.6,34.16,32,3999,667,1628,631,6.0794,12.7322793713345
"4015",-118.57,34.15,22,5791,706,2059,673,10.9201,13.1223653774023
"4017",-118.59,34.15,29,2023,330,747,304,6.7694,12.8204471449247
"4018",-118.6,34.15,28,4570,744,1693,695,6.14,12.7991232095518
"4020",-118.49,34.18,31,3073,674,1486,684,4.8984,12.6497964657554
"4021",-118.51,34.18,37,1893,365,911,324,4.8036,12.595747067732
"4022",-118.51,34.17,31,3252,834,1411,760,3.1885,12.2968270087986
"4023",-118.52,34.18,43,1700,380,930,349,3.675,12.2695168180867
"4026",-118.53,34.17,18,6430,1412,2897,1348,3.855,12.4041034960293
"4027",-118.54,34.17,11,1080,174,386,160,6.1274,12.6631809867902
"4029",-118.56,34.18,39,1819,291,770,278,5.4088,13.0330949096461
"4030",-118.54,34.18,17,7214,1994,4100,1823,3.0943,12.0696800206246
"4031",-118.53,34.18,16,7194,1976,3687,1894,3.1887,12.1510883371974
"4033",-118.54,34.17,25,3352,891,1815,860,2.8528,12.9598444479066
"4035",-118.56,34.17,35,2987,391,1244,387,7.1322,13.1223653774023
"4037",-118.52,34.16,39,2693,478,1219,435,5.17,12.7230791283712
"4038",-118.53,34.16,32,3554,762,1623,750,3.6141,12.5797030301183
"4039",-118.51,34.16,23,11154,1995,4076,1809,5.4609,13.1223653774023
"4041",-118.49,34.16,37,3333,488,1171,485,6.4958,13.1223653774023
"4042",-118.5,34.16,34,3547,523,1187,500,7.139,12.9574887342141
"4044",-118.5,34.17,37,880,154,369,155,4.1429,12.6234663245036
"4045",-118.49,34.15,33,2829,360,1010,363,10.3587,13.1223653774023
"4046",-118.49,34.14,28,3539,441,1190,421,10.6796,13.1223653774023
"4047",-118.49,34.13,24,4394,535,1443,528,11.2979,13.1223653774023
"4048",-118.51,34.14,28,6748,904,2431,876,12.8879,13.1223653774023
"4049",-118.53,34.14,28,6920,906,2515,860,9.2189,13.1223653774023
"4050",-118.54,34.15,26,10111,1295,3599,1257,10.2292,13.1223653774023
"4051",-118.56,34.14,23,9657,1189,3585,1162,10.4399,13.1223653774023
"4052",-118.43,34.15,28,6270,1706,2549,1497,3.2241,12.5974388292588
"4054",-118.43,34.15,26,2900,667,1090,590,3.7125,13.0112083280382
"4055",-118.43,34.15,31,1856,425,795,426,2.8448,12.7955245897514
"4056",-118.44,34.15,29,5474,1457,2352,1326,3.415,12.8544839322487
"4058",-118.44,34.15,15,4420,1076,1669,1016,4.6375,12.7913561802142
"4059",-118.44,34.15,37,1335,286,539,279,3.2813,12.6171884251472
"4060",-118.44,34.15,38,1387,337,713,343,2.9352,12.6264263661321
"4062",-118.45,34.15,10,1091,260,517,266,4.1727,12.714695845741
"4067",-118.47,34.16,30,3823,740,1449,612,4.6,12.8802918162046
"4069",-118.48,34.15,31,2536,429,990,424,5.4591,13.1133226327522
"4070",-118.48,34.16,30,3507,536,1427,525,6.7082,13.1223653774023
"4072",-118.46,34.14,34,5264,771,1738,753,8.8115,13.1223653774023
"4073",-118.47,34.14,36,2873,420,850,379,8.153,13.1223653774023
"4074",-118.47,34.14,34,3646,610,1390,607,7.629,13.1223653774023
"4075",-118.43,34.14,44,1693,239,498,216,10.9237,13.1223653774023
"4077",-118.45,34.14,33,1741,274,588,267,7.9625,13.1037919918189
"4078",-118.35,34.15,52,1680,238,493,211,9.042,13.1223653774023
"4081",-118.37,34.15,23,4604,1319,2391,1227,3.1373,12.4802894670284
"4082",-118.37,34.15,29,2630,617,1071,573,3.3669,12.8376103444584
"4083",-118.38,34.16,42,2358,546,1065,523,3.1289,12.6779495191576
"4084",-118.38,34.15,36,2933,619,1115,579,4.3036,12.8101153510073
"4085",-118.39,34.15,29,3110,650,1212,642,4.2031,12.8851209017106
"4087",-118.39,34.16,20,4084,1062,1637,987,3.2388,12.4541039123522
"4089",-118.41,34.15,33,4032,868,1695,869,4.3468,12.9619598559113
"4090",-118.42,34.15,48,680,131,268,126,4.615,12.8250349279007
"4091",-118.42,34.15,18,1880,420,681,333,4.3214,12.8274552598608
